gene_symbol,full_name,role,category,subcategory,evidence,VC_target
HMGA2,High Mobility Group AT-Hook 2,Senescence-associated chromatin remodeling; SASP regulator,Senescence,Chromatin,,
HMOX1,Heme Oxygenase 1,Heme degradation; releases free iron; key antioxidant and ferroptosis player,Iron_Metabolism,Heme_Metabolism,,
HMOX2,Heme Oxygenase 2,Constitutive heme oxygenase; iron release from heme,Iron_Metabolism,Heme_Metabolism,,
HSPA5,Heat Shock Protein Family A Member 5 (BiP/GRP78),ER stress-mediated ferroptosis resistance; binds GPX4,Ferroptosis,Suppressor,,
HSPB1,Heat Shock Protein Family B Member 1 (HSP27),Ferroptosis suppressor; reduces iron uptake via TFRC,Ferroptosis,Suppressor,,
ICAM1,Intercellular Adhesion Molecule 1,SASP adhesion molecule; leukocyte recruitment to vessels,Senescence,SASP,,
IL1A,Interleukin 1 Alpha,SASP factor; upstream regulator of IL6/IL8 in senescence,Senescence,SASP,,
IL1B,Interleukin 1 Beta,SASP factor; inflammasome-activated; pro-inflammatory,Senescence,SASP,,
IL6,Interleukin 6,Classical SASP factor; pro-inflammatory; vascular inflammation,Senescence|Vascular_Relevant,SASP|Inflammation,,
IREB2,Iron Responsive Element Binding Protein 2 (IRP2),Cytosolic iron sensor; regulates TFRC/FTH1 mRNA via IRE binding,Iron_Metabolism,Iron_Sensing,,
ISCU,Iron-Sulfur Cluster Assembly Enzyme,Iron-sulfur cluster scaffold protein,Iron_Metabolism,FeS_Cluster,,
KEAP1,Kelch Like ECH Associated Protein 1,Nrf2 repressor; redox sensor; targets Nrf2 for degradation,NRF2_Pathway,Regulator,,
KL,Klotho,Anti-aging protein; vascular protection; suppresses senescence,Senescence,Anti_Senescence,,
LMNB1,Lamin B1,Nuclear lamina component; DOWNREGULATED in senescence (negative marker),Senescence,Nuclear_Lamina,,
LPCAT3,Lysophosphatidylcholine Acyltransferase 3,Ferroptosis driver; incorporates PUFAs into membrane phospholipids,Ferroptosis,Driver,,
LTF,Lactotransferrin (Lactoferrin),Iron-binding glycoprotein; antimicrobial and anti-inflammatory,Iron_Metabolism,Iron_Carrier,,
MCP1,Monocyte Chemoattractant Protein 1,Same as CCL2; monocyte recruitment to vessel wall,Vascular_Relevant,Inflammation,,
MMP1,Matrix Metallopeptidase 1 (Collagenase-1),SASP protease; ECM degradation; tissue remodeling,Senescence,SASP_Protease,,
MMP12,Matrix Metallopeptidase 12 (Macrophage Elastase),SASP protease; elastin degradation; aneurysm/emphysema,Senescence,SASP_Protease,,
MMP3,Matrix Metallopeptidase 3 (Stromelysin-1),SASP protease; ECM degradation; activates other MMPs,Senescence,SASP_Protease,,
MMP9,Matrix Metallopeptidase 9 (Gelatinase B),SASP protease; basement membrane degradation; aneurysm pathogenesis,Senescence,SASP_Protease,,
MT1G,Metallothionein 1G,Metal-binding protein; ferroptosis suppressor,Ferroptosis,Suppressor,,
MYH11,Myosin Heavy Chain 11,VSMC-specific contractile marker; aneurysm-related mutations,Vascular_Relevant,VSMC,,
NCOA4,Nuclear Receptor Coactivator 4,Ferritinophagy receptor; mediates ferritin degradation and iron release,Iron_Metabolism,Iron_Storage_Turnover,,
NF2,"NF2, Moesin-Ezrin-Radixin Like (Merlin)",Ferroptosis suppressor via YAP pathway,Ferroptosis,Suppressor,,
NFE2L2,NFE2 Like BZIP Transcription Factor 2 (Nrf2),Master antioxidant transcription factor; upregulates ferroptosis suppressors,Ferroptosis,Suppressor,,
NFS1,NFS1 Cysteine Desulfurase,Sulfur donor for Fe-S cluster biogenesis,Iron_Metabolism,FeS_Cluster,,
NOS3,Nitric Oxide Synthase 3 (eNOS),Endothelial function; iron overload impairs eNOS; vascular protection,Vascular_Relevant,Endothelial,,
NOX1,NADPH Oxidase 1,Ferroptosis driver; ROS production,Ferroptosis,Driver,,
NOX4,NADPH Oxidase 4,Ferroptosis driver; constitutive ROS production,Ferroptosis,Driver,,
NOX5,NADPH Oxidase 5,Calcium-dependent ROS production,Lipid_Peroxidation,ROS_Production,,
NQO1,NAD(P)H Quinone Dehydrogenase 1,Nrf2 target; quinone detoxification; antioxidant,NRF2_Pathway,Target,,
OTUB1,"OTU Deubiquitinase, Ubiquitin Aldehyde Binding 1",Deubiquitinates SLC7A11; stabilizes xCT; ferroptosis suppressor,Ferroptosis,Suppressor,,
PLA2G6,Phospholipase A2 Group VI,Releases oxidized fatty acids from membranes; phospholipid remodeling,Lipid_Peroxidation,Phospholipase,,
PRDX1,Peroxiredoxin 1,Hydrogen peroxide reduction; Nrf2 target,NRF2_Pathway,Target,,
PROM2,Prominin 2,Ferroptosis suppressor; promotes ferritin export in exosomes,Ferroptosis,Suppressor,,
PTGS2,Prostaglandin-Endoperoxide Synthase 2 (COX-2),Ferroptosis marker/driver; induced by ferroptotic stimuli,Ferroptosis,Driver_Marker,,
RB1,RB Transcriptional Corepressor 1,Retinoblastoma protein; key senescence effector; E2F inhibition,Senescence,Cell_Cycle_Arrest,,
SAT1,Spermidine/Spermine N1-Acetyltransferase 1,Ferroptosis driver; polyamine metabolism; p53 target,Ferroptosis,Driver,,
SELE,Selectin E (E-Selectin),Endothelial adhesion molecule; vascular inflammation,Vascular_Relevant,Endothelial,,
SERPINE1,Serpin Family E Member 1 (PAI-1),SASP factor; key senescence mediator; thrombosis/inflammation link,Senescence,SASP,,
SIRT1,Sirtuin 1,Anti-senescence; NAD+-dependent deacetylase; FOXO activation,Senescence,Anti_Senescence,,
SIRT6,Sirtuin 6,Anti-senescence; chromatin regulation; DNA repair; vascular aging protection,Senescence,Anti_Senescence,,
SLC11A2,Solute Carrier Family 11 Member 2 (DMT1),Divalent metal transporter 1; endosomal iron export to cytoplasm,Iron_Metabolism,Iron_Transport,,
SLC3A2,Solute Carrier Family 3 Member 2 (4F2hc),Heavy chain of xCT cystine transporter complex,Ferroptosis,Suppressor,,
SLC40A1,Solute Carrier Family 40 Member 1 (Ferroportin),Only known iron exporter; exports iron from cells into circulation,Iron_Metabolism,Iron_Transport,,
SLC48A1,Solute Carrier Family 48 Member 1 (HRG1),Heme transporter; heme recycling,Iron_Metabolism,Heme_Transport,,
SLC7A11,Solute Carrier Family 7 Member 11 (xCT),Cystine/glutamate antiporter subunit; critical for GSH synthesis,Ferroptosis,Suppressor,,
SOD1,Superoxide Dismutase 1,Cytosolic superoxide detoxification; copper/zinc SOD,NRF2_Pathway,Target,,
SOD2,Superoxide Dismutase 2 (MnSOD),Mitochondrial superoxide detoxification,NRF2_Pathway,Target,,
STEAP1,STEAP Family Member 1,Ferric reductase; reduces Fe3+ to Fe2+ for DMT1 transport,Iron_Metabolism,Iron_Reduction,,
STEAP2,STEAP Family Member 2,Ferric reductase; iron reduction,Iron_Metabolism,Iron_Reduction,,
STEAP3,STEAP Family Member 3,Endosomal ferric reductase; major player in erythroid iron uptake,Iron_Metabolism,Iron_Reduction,,
TAGLN,Transgelin (SM22-alpha),VSMC marker; decreases in aneurysm,Vascular_Relevant,VSMC,,
TERT,Telomerase Reverse Transcriptase,Telomere maintenance; anti-senescence,Senescence,Anti_Senescence,,
TF,Transferrin,Iron carrier protein in blood; delivers iron to cells via TFRC,Iron_Metabolism,Iron_Carrier,,
TFR2,Transferrin Receptor 2,Iron sensing in hepatocytes; hepcidin regulation,Iron_Metabolism,Iron_Uptake,,
TFRC,Transferrin Receptor,Iron uptake; receptor for transferrin-mediated iron import,Iron_Metabolism,Iron_Uptake,,
TGFB1,Transforming Growth Factor Beta 1,Aneurysm pathogenesis; VSMC phenotype; senescence regulator,Vascular_Relevant,Signaling,,
TMPRSS6,Transmembrane Serine Protease 6 (Matriptase-2),Cleaves HJV; suppresses hepcidin; promotes iron absorption,Iron_Metabolism,Iron_Regulation,,
TP53,Tumor Protein P53,Dual role: inhibits SLC7A11 → pro-ferroptosis; but can also suppress ferroptosis,Ferroptosis,Dual_Regulator,,
TXN,Thioredoxin,Redox protein; Nrf2 target; reduces oxidized proteins,NRF2_Pathway,Target,,
TXNRD1,Thioredoxin Reductase 1,Reduces thioredoxin; Nrf2 target; selenium-containing,NRF2_Pathway,Target,,
VCAM1,Vascular Cell Adhesion Molecule 1,Endothelial activation marker; iron-induced expression; vascular inflammation,Vascular_Relevant,Endothelial,,
VDAC2,Voltage Dependent Anion Channel 2,Ferroptosis driver; erastin target; mitochondrial outer membrane,Ferroptosis,Driver,,
VDAC3,Voltage Dependent Anion Channel 3,Ferroptosis driver; erastin target,Ferroptosis,Driver,,
VEGFA,Vascular Endothelial Growth Factor A,SASP angiogenic factor; vascular permeability,Senescence,SASP,,
